Inspection ID,Violation ID1,Violation ID2,Violation ID3,Violation ID4,Violation ID5,Violation ID6,Violation ID7,Violation ID8,Violation ID9,Violation ID10,Violation ID11,Violation ID11,Violation ID12,Violation ID13,Violation ID14,Violation ID15,Violation ID16,Violation ID17,Violation ID18
1967194,16,16,32,35,38,,,,,,,,,,,,,,
1967193,,,,,,,,,,,,,,,,,,,
1967192,35,35,30,33,,,,,,,,,,,,,,,
1967189,35,35,,,,,,,,,,,,,,,,,
1967112,34,34,36,,,,,,,,,,,,,,,,
1970386,,,,,,,,,,,,,,,,,,,
1967181,33,33,,,,,,,,,,,,,,,,,
1967178,34,34,45,,,,,,,,,,,,,,,,
1967174,,,,,,,,,,,,,,,,,,,
1967170,,,,,,,,,,,,,,,,,,,
1967166,18,18,34,,,,,,,,,,,,,,,,
1967165,30,30,35,,,,,,,,,,,,,,,,
1967175,,,,,,,,,,,,,,,,,,,
1967164,,,,,,,,,,,,,,,,,,,
1967156,42,42,32,34,38,35,,,,,,,,,,,,,
1967158,41,41,,,,,,,,,,,,,,,,,
1967150,,,,,,,,,,,,,,,,,,,
1965310,,,,,,,,,,,,,,,,,,,
1967145,,,,,,,,,,,,,,,,,,,
1967146,,,,,,,,,,,,,,,,,,,
1967142,38,38,34,,,,,,,,,,,,,,,,
1967136,,,,,,,,,,,,,,,,,,,
1967141,38,38,,,,,,,,,,,,,,,,,
1966990,45,45,,,,,,,,,,,,,,,,,
1967129,35,35,33,30,29,,,,,,,,,,,,,,
1967125,36,36,35,32,,,,,,,,,,,,,,,
1967123,,,,,,,,,,,,,,,,,,,
1967118,,,,,,,,,,,,,,,,,,,
1967122,,,,,,,,,,,,,,,,,,,
1967115,,,,,,,,,,,,,,,,,,,
1967120,24,24,33,34,35,41,,,,,,,,,,,,,
1965276,,,,,,,,,,,,,,,,,,,
1967113,42,42,30,34,21,33,,,,,,,,,,,,,
1967111,,,,,,,,,,,,,,,,,,,
1967103,,,,,,,,,,,,,,,,,,,
1967105,,,,,,,,,,,,,,,,,,,
1967089,,,,,,,,,,,,,,,,,,,
1967092,35,35,38,,,,,,,,,,,,,,,,
1961074,,,,,,,,,,,,,,,,,,,
1967085,29,29,32,34,35,38,43,,,,,,,,,,,,
1967062,40,40,34,,,,,,,,,,,,,,,,
1966940,33,33,38,,,,,,,,,,,,,,,,
1967061,32,32,33,,,,,,,,,,,,,,,,
1967067,38,38,,,,,,,,,,,,,,,,,
1967053,,,,,,,,,,,,,,,,,,,
1967051,18,18,32,33,34,39,43,,,,,,,,,,,,
1966938,,,,,,,,,,,,,,,,,,,
1967057,,,,,,,,,,,,,,,,,,,
1967052,24,24,34,35,41,,,,,,,,,,,,,,
1951286,,,,,,,,,,,,,,,,,,,
1967041,,,,,,,,,,,,,,,,,,,
1967040,33,33,34,35,40,43,,,,,,,,,,,,,
1966847,33,33,,,,,,,,,,,,,,,,,
1967043,16,16,18,34,36,,,,,,,,,,,,,,
1967032,12,12,19,22,32,34,36,38,,,,,,,,,,,
1967029,38,38,,,,,,,,,,,,,,,,,
1967022,,,,,,,,,,,,,,,,,,,
1967021,32,32,35,38,41,45,,,,,,,,,,,,,
1967016,,,,,,,,,,,,,,,,,,,
1967018,,,,,,,,,,,,,,,,,,,
1966997,28,28,35,33,38,34,32,41,40,,,,,,,,,,
1967002,18,18,41,34,33,36,,,,,,,,,,,,,
1966992,,,,,,,,,,,,,,,,,,,
1966824,,,,,,,,,,,,,,,,,,,
1966993,34,34,41,42,,,,,,,,,,,,,,,
1966991,33,33,34,,,,,,,,,,,,,,,,
1966980,30,30,,,,,,,,,,,,,,,,,
1966979,38,38,34,,,,,,,,,,,,,,,,
1966975,33,33,30,,,,,,,,,,,,,,,,
1960821,,,,,,,,,,,,,,,,,,,
1966959,,,,,,,,,,,,,,,,,,,
1966955,34,34,,,,,,,,,,,,,,,,,
1966953,32,32,34,35,33,,,,,,,,,,,,,,
